Country Name,Time,Adjusted net national income per capita (current US$) [NY.ADJ.NNTY.PC.CD],GDP per capita (current US$) [NY.GDP.PCAP.CD],Current health expenditure per capita (current US$) [SH.XPD.CHEX.PC.CD],Consumer price index (2010 = 100) [FP.CPI.TOTL],"Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]",Gini index [SI.POV.GINI],CoL_Trend
Cabo Verde,2015.0,2650.49956946691,3415.06266730931,139.48536682,108.624526319136,0.131187999024545,42.4,Decreasing
Cameroon,2014.0,1324.67582866725,1649.4433905949,61.80369186,109.925634907972,1.85489850366777,46.6,Decreasing
Cameroon,2021.0,1377.09223221176,1672.32657340872,63.78601837,124.302010149149,2.27185762503637,42.2,Decreasing
Canada,2009.0,32986.0481049786,40874.8831932903,4368.85693359,98.2541499713795,0.299466803009299,34.0,Normal
Canada,2010.0,38678.1805865567,47560.6666009406,5083.98193359,100.0,1.77687154092627,33.6,Normal
Canada,2011.0,42617.9740602834,52223.8588398531,5423.05908203,102.912135088724,2.91213508872351,32.7,Normal
Canada,2012.0,43024.4508036713,52670.3447335415,5538.93554688,104.471951917573,1.51567823124517,33.5,Normal
Canada,2013.0,43054.542645188,52638.1187235237,5483.25585938,105.452203777905,0.938291897815317,33.8,Normal
Canada,2014.0,41608.0361468204,50960.8431174661,5231.73632813,107.462793360046,1.90663590717861,33.2,Normal
Canada,2015.0,35364.1191071783,43594.1941045394,4677.83007813,108.672009158557,1.12524136094277,33.7,Normal
Canada,2016.0,34318.5449237169,42314.0615817218,4667.703125,110.224670864339,1.42875954701085,32.7,Normal
Canada,2017.0,36906.3117171091,45129.628116623,4920.72851563,111.984831139096,1.59688412852977,33.3,Normal
Canada,2018.0,37828.3168572496,46539.1761570405,5080.32324219,114.524899828277,2.26822567248103,32.5,Normal
Canada,2019.0,37785.7276089272,46352.8693445211,5115.97607422,116.757298225529,1.94926902411593,31.7,Normal
Central African Republic,2021.0,417.433814182588,492.263142830507,42.92785645,160.95649049113,4.25936417542868,43.0,Decreasing
Chad,2011.0,673.451211042858,954.316872911808,38.68487549,102.029240536783,2.0292405367826,43.3,Decreasing
Chad,2018.0,509.798877059527,695.642393675941,32.30886459,118.853387371944,4.27462198610545,37.5,Decreasing
Chile,2009.0,7591.88029164435,10098.8017166866,738.284729,98.6089131369598,0.353045178360957,47.4,Decreasing
Chile,2011.0,10496.0426627319,14487.3927827263,994.66607666,103.341216942593,3.34121694259301,46.9,Decreasing
Chile,2013.0,12389.6704579851,15683.54863663,1183.62084961,108.354117394109,1.7895555398459,46.8,Decreasing
Chile,2015.0,11170.854810558,13433.9202985339,1133.27978516,118.401419049667,4.34877353217053,45.3,Decreasing
Chile,2017.0,11698.3022160323,14879.9086230423,1367.71643066,125.566544829069,2.18271846868519,45.3,Decreasing
Chile,2020.0,9720.74978802701,13114.815470545,1280.63232422,135.930982584391,3.04549084804334,47.0,Decreasing
China,2010.0,3487.25899295549,4550.47394356715,189.34370422,100.0,3.17532475269199,43.7,Decreasing
China,2011.0,4132.67220088012,5614.38602225277,239.7543335,105.553898922575,5.55389892257493,42.4,Decreasing
China,2012.0,4770.26318228205,6300.58217951734,285.31427002,108.318908982374,2.61952432645541,42.2,Decreasing
China,2013.0,5239.78513400738,7020.38607422881,329.78106689,111.158001765192,2.62105001748115,39.7,Decreasing
China,2014.0,5753.40866780212,7636.07434020616,363.00939941,113.294060199837,1.92164162788521,39.2,Decreasing
China,2015.0,6012.71864865345,8016.44559489998,393.77990723,114.922122819495,1.43702380935655,38.6,Decreasing
China,2016.0,6078.48522150407,8094.39016735149,398.78921509,117.220567369674,2.00000182191943,38.5,Decreasing
China,2017.0,6658.94373473479,8817.04560829162,440.58850098,119.088050428682,1.59313600071436,39.1,Decreasing
China,2018.0,7331.85980601051,9905.40638304527,504.79974365,121.558877866113,2.07479039965576,38.5,Decreasing
China,2019.0,7470.11381485916,10143.8602206165,539.6194458,125.083154382075,2.89923416358227,38.2,Decreasing
China,2020.0,7510.44265569393,10408.7195541075,583.43218994,128.109443605623,2.41942189457782,37.1,Decreasing
China,2021.0,9015.34800413676,12617.5051041181,670.5145874,129.366216637457,0.981015135544882,35.7,Decreasing
Colombia,2009.0,4280.98146708157,5250.97292433518,383.54962158,97.7784709125731,4.20251661216482,54.3,Decreasing
Colombia,2010.0,5121.88844925238,6398.2958447102,452.0512085,100.0,2.27200227892008,54.6,Decreasing
Colombia,2011.0,5701.33859971386,7400.9940695669,501.29830933,103.415033447762,3.4150334477625,53.5,Decreasing
Colombia,2012.0,6333.71659114471,8108.59838244229,546.21148682,106.692568055712,3.16930188840055,52.6,Decreasing
Colombia,2013.0,6548.41345038693,8279.10255642981,579.87963867,108.844548877365,2.01699224310383,52.6,Decreasing
Colombia,2014.0,6588.06179685728,8187.20824890085,586.87640381,111.999775887943,2.89883787761738,52.5,Decreasing
Colombia,2015.0,5260.86877592388,6248.51490534512,468.60543823,117.588375602645,4.9898311584953,51.0,Decreasing
Colombia,2016.0,5070.85301009397,5959.84250367575,447.06994629,126.423331457792,7.51346024627675,50.6,Decreasing
Colombia,2017.0,5446.60777873774,6479.53231292429,495.27026367,131.877630006754,4.31431325695011,49.7,Decreasing
Colombia,2018.0,5630.58658695121,6816.96818309544,517.15844727,136.151216036968,3.24056932930569,50.4,Decreasing
Colombia,2019.0,5391.53417486232,6472.54544924705,500.73138428,140.94784969246,3.52301932741447,51.3,Decreasing
Colombia,2020.0,4605.78877312319,5339.68711357943,462.2328186,144.509087395731,2.52663500084706,53.5,Decreasing
Colombia,2021.0,5127.30925580657,6222.62164397614,557.53948975,149.559763199866,3.49505757399448,55.1,Decreasing
"Congo, Dem. Rep.",2012.0,262.828392445555,400.059901824342,13.62572193,126.527389319038,9.72182806273364,42.1,Decreasing
"Congo, Rep.",2011.0,935.728746819591,3396.16505817952,59.84463501,101.759587042738,1.75958704273803,48.9,Decreasing
Costa Rica,2009.0,6205.20079863887,6832.69829924138,529.60870361,94.6407256061966,7.84270167700654,50.6,Decreasing
Costa Rica,2010.0,7525.7074102306,8265.78820275581,654.17340088,100.0,5.66275708420021,48.0,Decreasing
Costa Rica,2011.0,8427.83167297772,9276.39107511347,742.14190674,104.877998309707,4.87799830970702,48.8,Decreasing
Costa Rica,2012.0,9250.98091105138,10126.9991024177,776.43487549,109.592739581609,4.49545314354605,48.4,Decreasing
Costa Rica,2013.0,9833.06034838475,10803.2401962173,816.87872314,115.325904176069,5.23133614174428,49.2,Decreasing
Costa Rica,2014.0,9894.22372785976,10911.497878334,822.91003418,120.53771357375,4.51920098516954,48.6,Decreasing
Costa Rica,2015.0,10614.1573852259,11714.7105980732,875.34973145,121.50440434597,0.801982005099623,48.4,Decreasing
Costa Rica,2016.0,10960.2207741799,12091.0301606154,870.73840332,121.483166772673,-0.017478850590822,48.7,Decreasing
Costa Rica,2017.0,11011.3110592154,12317.0902771304,853.75048828,123.458369999913,1.62590692991732,48.3,Decreasing
Costa Rica,2018.0,11226.5872854482,12590.2493781614,902.22119141,126.20052189975,2.22111461526581,48.0,Decreasing
Costa Rica,2019.0,11493.0208012993,12884.6859951989,914.88470459,128.845743336848,2.09604635327807,48.2,Decreasing
Costa Rica,2020.0,10980.843974094,12394.0493969492,953.08251953,129.77976091938,0.724911478131376,49.2,Decreasing
Costa Rica,2021.0,11172.4316041155,12838.1185358931,948.92163086,132.020379357515,1.72647755109241,48.7,Decreasing
Cote d'Ivoire,2015.0,1715.60341563536,1814.71855088017,62.51667023,110.884056313105,1.25149954781477,41.5,Decreasing
Cote d'Ivoire,2018.0,1947.71213990439,2130.86619381144,70.97071075,112.856141244189,0.359409031380677,37.2,Decreasing
Cote d'Ivoire,2021.0,2164.04317815456,2455.98127641148,81.86914825,118.991105987766,4.09195189692863,35.3,Decreasing
Croatia,2009.0,11560.0274281311,14475.9632928725,1188.0,98.9799570508232,2.37852845904674,32.6,Decreasing
Croatia,2010.0,11109.9757454789,13731.2865213989,1126.0,100.0,1.03055505333574,32.4,Decreasing
Croatia,2011.0,11677.725467625,14694.9993201417,1132.0,102.272727272727,2.2727272727273,32.3,Decreasing
Croatia,2012.0,10625.5448965079,13508.6836989693,1030.0,105.762347888332,3.41207349081358,32.5,Decreasing
Croatia,2013.0,11265.0096466691,14136.3967669505,890.0,108.106657122405,2.21658206429779,32.0,Decreasing
Croatia,2014.0,11306.5776711312,14187.9694531493,909.0,107.874015748031,-0.215196159576268,32.1,Decreasing
Croatia,2015.0,10121.6496488278,12285.3032582105,796.0,107.372942018611,-0.464499004644911,31.1,Decreasing
Croatia,2016.0,10404.4554318407,12821.1738140304,841.0,106.164996420902,-1.12500000000002,30.9,Decreasing
Croatia,2017.0,11582.540419919,13902.6310485422,903.0,107.363994273443,1.12937210282347,30.4,Decreasing
Croatia,2018.0,12984.3036825706,15460.4183295843,1025.0,108.974588403722,1.50012501041756,29.7,Decreasing
Croatia,2019.0,13113.7613041445,15563.8167397199,1040.0,109.815676449535,0.771820346498019,28.9,Decreasing
Croatia,2020.0,12231.3893130622,14808.4620188819,1095.0,109.985683607731,0.154811374562106,29.5,Decreasing
Croatia,2021.0,14553.4842135772,17789.9304736722,1384.0,112.795275590551,2.55450699642041,28.9,Decreasing
Cyprus,2009.0,28200.1171875,32236.44921875,2105.0,97.627609223749,0.326276652249794,32.1,Decreasing
Cyprus,2010.0,26890.353515625,31105.02734375,2045.0,100.0,2.43004084102254,31.5,Decreasing
